Technology Name,Technology Type,B Prereqs,Y Prereqs,G Prereqs,R Prereqs,Ability,No change from previous build?,,
Nano Technology,Cybernetic,,4,,,"When executing the secondary ability of strategy cards, you may spend a trade good or commodity instead or a strategy token. Place tokens from your reinforcements instead of your strategy pool.",FALSE,,FALSE
Neural Motivator,Biotic,,,,,"At the start of a player's turn, you may exhaust this card to draw 1 action card.",TRUE,,FALSE
Psychoarchaeology,Biotic,,,,,"When researching a non-unit upgrade technology owned by a neighbor, ignore 1 prerequisite or ready a technology specialty planet you control of that technology's color.",FALSE,,FALSE
Bio-Stims,Biotic,,,1,,"At the start or end of a turn, you may exhaust this card to ready a planet you control with a technology specialty or a non-faction technology you own with 1 or less prerequisites.",FALSE,,FALSE
Cybernetic-Stims,Cybernetic,,,1,,"At the start of space combat, exhaust this card and choose 1 of your ships. That ship gains ANTI-FIGHTER BARRAGE 10 and rolls a die for each of your opponent’s fighters in the combat.",FALSE,,FALSE
Hyper Metabolism,Biotic,,,2,,"During the action phase, you may exhaust this card to gain 1 command token.",TRUE,,FALSE
Alloyphage Torpedoes,Warfare,,,2,,"At the start of each round of combat, damage 1 of your opponent’s undamaged units with Sustain Damage in the combat.",FALSE,,FALSE
X-89 Bacterial Weapon,Biotic,,,3,,"At the start of ground combat, choose 1 of your ships in the active system. That ship makes a combat roll for each opponent's ground force on the planet. For each successful combat roll, that planet's owner must assign 1 hit to a ground force on that planet.",FALSE,,FALSE
Fleet Logistics,Propulsion,,,3,,"After performing an action, you may exhaust this card to perform an additional action.",TRUE,,FALSE
Xenopsychology,Biotic,,,4,,"After you perform a strategic action, you may exhaust this card to gain 1 command token or perform the secondary ability of that strategy card without spending or placing command tokens.",FALSE,,FALSE
Plasma Scoring,Warfare,,,,,"When 1 or more of your units make a roll for a unit ability, 1 of those units may roll 1 additional die.",TRUE,,FALSE
AI Development Algorithm,Warfare,,,,,"When researching a unit upgrade technology, you may ignore 1 prerequisite or spend 2 resources to ignore 2 prerequisites.",FALSE,,FALSE
Self Assembly Routines,Warfare,,,,1,"When producing units, you may exhaust this card to decrease the cost of the production by 2 and increase the number of units you may produce by 2.",TRUE,,FALSE
Ion Drive,Propulsion,,,,1,"During the movement step of your tactical actions, apply +1 to the move value of a flagship.",TRUE,,FALSE
Magen Defense Grid,Warfare,,,,2,"Before assigning hits to your units during combat, you may exhaust this card to cancel up to 3 hits.",TRUE,,FALSE
Daxcive Animators,Biotic,,,,2,"When you win a ground combat or when at least 2 of your infantry on a planet are destroyed, place an infantry on that planet from your reinforcements.",FALSE,,FALSE
AI Targeting Systems,Warfare,,,,3,"At the start of a round of space combat, you may exhaust this card to apply -1 to all your combat rolls; For each of your combat rolls that produce a hit, produce 1 additional hit.",FALSE,,FALSE
Integrated Economy,Cybernetic,,,,3,"At the end of your turn, you may exhaust this card to use the PRODUCTION ability of 1 of your units.",TRUE,,FALSE
Assault Cannon,Warfare,,,,4,"At the start of space combat, your opponent must destroy 1 of their non-fighter, non-ground force ships for every 3 non-fighter, non-ground force ships you have in that system.",FALSE,,FALSE
